comm_code	ref_code	site	sampling_year	x	y
com_001	REF_NT_001		2005	-53.83333333	-26.5
com_002	REF_NT_004		2003	-68.81927835	-11.496226
com_003	REF_NT_004		2003	-68.58550619	-12.38344
com_004	REF_NT_004		2003	-68.75754274	-11.342365
com_005	REF_NT_004		2003	-67.19358529	-11.293863
com_006	REF_NT_004		2003	-69.42847542	-10.934582
com_007	REF_NT_006		2004	-76.428944	3.875875
com_008	REF_NT_008		1995	-69.801063	5.417971
com_009	REF_NT_008		1977	-67.846597	5.339013
com_010	REF_NT_008		1977	-69.148062	5.109102
com_011	REF_NT_008		1987	-69.51555556	-1.071944444
com_012	REF_NT_008		1999	-69.62527778	-2.121111111
com_013	REF_NT_008		2002	-69.90444444	-3.533333333
com_014	REF_NT_008		2003	-69.89083333	-3.535833333
com_015	REF_NT_009	F1	2014	-74.140436	6.716209
com_016	REF_NT_009	F2	2014	-74.145591	6.711779
com_017	REF_NT_009	FT	2014	-74.136114	6.713308
com_018	REF_NT_009	FDU	2014	-74.187016	6.666162
com_019	REF_NT_009	F3	2014	-74.151941	6.7028
com_020	REF_NT_009	FA	2014	-74.144662	6.699981
com_021	REF_NT_009	FC	2014	-74.125644	6.710898
com_022	REF_NT_009	FN	2014	-74.133154	6.72562
com_023	REF_NT_009	FTF	2014	-74.120383	6.693844
com_024	REF_NT_008		2001	-69.83555556	-3.501944444
com_025	REF_NT_010		2001	-69.5	-1.583333333
com_026	REF_NT_012		2005	-75.251027	10.633309
com_027	REF_NT_013		2005	-74.97611111	10.04
com_028	REF_NT_014		2006	-74.2	6.016666667
com_029	REF_NT_015		1996	-85.620026	10.842998
com_030	REF_NT_018		2005	-83.948042	10.459624
com_031	REF_NT_019		2002	-83.737444	10.556062
com_032	REF_NT_020		1999	-83.778012	10.447872
com_033	REF_NT_021		2005	-76.16666667	-0.616666667
com_034	REF_NT_022		2012	-80.891178	-1.075206
com_035	REF_NT_023		1995	-52.66666667	4.083333333
com_036	REF_NT_024		1998	-53.06666667	4.85
com_037	REF_NT_026		2002	-89.58333333	17.25
com_038	REF_NT_027		2008	-58.70325	4.675766
com_039	REF_NT_028	C1	2007	-90.938444	16.116167
com_040	REF_NT_028	C2	2007	-90.901833	16.158889
com_041	REF_NT_028	F1	2007	-90.845472	16.323472
com_042	REF_NT_028	F2	2007	-90.851694	16.331111
com_043	REF_NT_028	F3	2007	-90.833194	16.253389
com_044	REF_NT_026		2001	-89.8	18.1
com_045	REF_NT_026		2001	-90.95	16.88333333
com_046	REF_NT_032		2006	-91.311583	18.854272
com_047	REF_NT_032		2006	-89.858033	18.316744
com_048	REF_NT_033		1987	-79.85	9.15
com_049	REF_NT_035	Pakitza	2006	-71.281389	-11.942334
com_050	REF_NT_035	Lower Panagua	2006	-71.347116	-11.977351
com_051	REF_NT_035	Upper Panagua	2006	-71.508872	-11.964086
com_052	REF_NT_035	Cocha Cashu	2006	-71.406192	-11.883254
com_053	REF_NT_035	Cumerjali	2006	-71.629937	-11.86402
com_054	REF_NT_035	Tayakome	2006	-71.655668	-11.731749
com_055	REF_NT_035	Yomybato	2006	-71.919143	-11.797873
com_056	REF_NT_036		2007	-76.75	-7.229444444
com_057	REF_NT_036		2007	-77.460833	-7.320556
com_058	REF_NT_036		2007	-77.91	-5.665556
com_059	REF_NT_036		2007	-78.250833	-5.641667
com_060	REF_NT_036		2007	-77.760484	-5.674408
com_061	REF_NT_036		2007	-77.224722	-6.707778
com_062	REF_NT_036		2007	-77.58333333	-5.961944444
